date,week,year,t,is_holiday,is_event,shop_open,cafe_open,visitors
2022-01-03,1,2022,0,0,0,0,0,5
2022-01-10,2,2022,1,0,0,0,0,0
2022-01-17,3,2022,2,0,0,0,0,9
2022-01-24,4,2022,3,0,0,0,0,10
2022-01-31,5,2022,4,0,0,0,0,0
2022-02-07,6,2022,5,0,0,0,0,0
2022-02-14,7,2022,6,0,0,0,0,6
2022-02-21,8,2022,7,0,0,0,0,4
2022-02-28,9,2022,8,0,0,0,0,7
2022-03-07,10,2022,9,0,0,0,0,2
2022-03-14,11,2022,10,0,0,0,0,16
2022-03-21,12,2022,11,0,0,0,0,18
2022-03-28,13,2022,12,0,0,0,0,15
2022-04-04,14,2022,13,0,0,0,0,26
2022-04-11,15,2022,14,1,0,0,0,30
2022-04-18,16,2022,15,0,0,0,0,19
2022-04-25,17,2022,16,0,0,0,0,31
2022-05-02,18,2022,17,0,0,0,0,26
2022-05-09,19,2022,18,0,0,0,0,43
2022-05-16,20,2022,19,0,0,0,0,41
2022-05-23,21,2022,20,0,0,0,0,45
2022-05-30,22,2022,21,0,0,0,0,45
2022-06-06,23,2022,22,0,0,0,0,62
2022-06-13,24,2022,23,0,0,0,0,56
2022-06-20,25,2022,24,0,0,0,0,56
2022-06-27,26,2022,25,0,0,0,0,59
2022-07-04,27,2022,26,1,0,0,0,79
2022-07-11,28,2022,27,1,0,0,0,81
2022-07-18,29,2022,28,1,0,0,0,78
2022-07-25,30,2022,29,0,0,0,0,65
2022-08-01,31,2022,30,0,0,0,0,75
2022-08-08,32,2022,31,0,0,0,0,55
2022-08-15,33,2022,32,0,0,0,0,51
2022-08-22,34,2022,33,0,0,0,0,46
2022-08-29,35,2022,34,0,0,0,0,52
2022-09-05,36,2022,35,0,0,0,0,52
2022-09-12,37,2022,36,0,0,0,0,39
2022-09-19,38,2022,37,0,0,0,0,30
2022-09-26,39,2022,38,0,0,0,0,26
2022-10-03,40,2022,39,0,0,0,0,33
2022-10-10,41,2022,40,0,0,0,0,30
2022-10-17,42,2022,41,0,0,0,0,26
2022-10-24,43,2022,42,0,0,0,0,15
2022-10-31,44,2022,43,0,0,0,0,19
2022-11-07,45,2022,44,0,0,0,0,16
2022-11-14,46,2022,45,0,0,0,0,15
2022-11-21,47,2022,46,0,0,0,0,19
2022-11-28,48,2022,47,0,0,0,0,13
2022-12-05,49,2022,48,0,0,0,0,16
2022-12-12,50,2022,49,0,0,0,0,11
2022-12-19,51,2022,50,1,0,0,0,16
2022-12-26,52,2022,51,1,0,0,0,18
2023-01-02,1,2023,52,0,0,0,0,1
2023-01-09,2,2023,53,0,0,0,0,9
2023-01-16,3,2023,54,0,0,0,0,8
2023-01-23,4,2023,55,0,0,0,0,7
2023-01-30,5,2023,56,0,0,0,0,10
2023-02-06,6,2023,57,0,0,0,0,23
2023-02-13,7,2023,58,0,0,0,0,7
2023-02-20,8,2023,59,0,0,0,0,20
2023-02-27,9,2023,60,0,0,0,0,3
2023-03-06,10,2023,61,0,0,0,0,14
2023-03-13,11,2023,62,0,0,0,0,19
2023-03-20,12,2023,63,0,0,0,0,24
2023-03-27,13,2023,64,0,0,0,0,28
2023-04-03,14,2023,65,0,0,0,0,31
2023-04-10,15,2023,66,1,0,0,0,34
2023-04-17,16,2023,67,0,0,0,0,29
2023-04-24,17,2023,68,0,0,0,0,43
2023-05-01,18,2023,69,0,0,0,0,39
2023-05-08,19,2023,70,0,0,0,0,36
2023-05-15,20,2023,71,0,0,0,0,41
2023-05-22,21,2023,72,0,0,0,0,47
2023-05-29,22,2023,73,0,0,0,0,61
2023-06-05,23,2023,74,0,0,0,0,62
2023-06-12,24,2023,75,0,0,0,0,69
2023-06-19,25,2023,76,0,0,0,0,64
2023-06-26,26,2023,77,0,0,0,0,70
2023-07-03,27,2023,78,1,0,0,0,89
2023-07-10,28,2023,79,1,0,0,0,86
2023-07-17,29,2023,80,1,0,0,0,88
2023-07-24,30,2023,81,0,0,0,0,65
2023-07-31,31,2023,82,0,0,0,0,65
2023-08-07,32,2023,83,0,0,0,0,63
2023-08-14,33,2023,84,0,0,0,0,54
2023-08-21,34,2023,85,0,0,0,0,63
2023-08-28,35,2023,86,0,0,0,0,52
2023-09-04,36,2023,87,0,0,0,0,52
2023-09-11,37,2023,88,0,0,0,0,51
2023-09-18,38,2023,89,0,0,0,0,47
2023-09-25,39,2023,90,0,0,0,0,45
2023-10-02,40,2023,91,0,0,0,0,36
2023-10-09,41,2023,92,0,0,0,0,30
2023-10-16,42,2023,93,0,0,0,0,29
2023-10-23,43,2023,94,0,0,0,0,15
2023-10-30,44,2023,95,0,0,0,0,15
2023-11-06,45,2023,96,0,0,0,0,14
2023-11-13,46,2023,97,0,0,0,0,15
2023-11-20,47,2023,98,0,0,0,0,23
2023-11-27,48,2023,99,0,0,0,0,13
2023-12-04,49,2023,100,0,0,0,0,16
2023-12-11,50,2023,101,0,0,0,0,28
2023-12-18,51,2023,102,1,0,0,0,22
2023-12-25,52,2023,103,1,0,0,0,29
2024-01-01,1,2024,104,0,0,0,0,12
2024-01-08,2,2024,105,0,0,0,0,17
2024-01-15,3,2024,106,0,0,0,0,12
2024-01-22,4,2024,107,0,0,0,0,17
2024-01-29,5,2024,108,0,0,0,0,25
2024-02-05,6,2024,109,0,0,0,0,8
2024-02-12,7,2024,110,0,0,0,0,24
2024-02-19,8,2024,111,0,0,0,0,23
2024-02-26,9,2024,112,0,0,0,0,18
2024-03-04,10,2024,113,0,0,0,0,14
2024-03-11,11,2024,114,0,0,0,0,26
2024-03-18,12,2024,115,0,0,0,0,24
2024-03-25,13,2024,116,0,0,0,0,32
2024-04-01,14,2024,117,0,0,0,0,34
2024-04-08,15,2024,118,1,0,0,0,57
2024-04-15,16,2024,119,0,0,0,0,39
2024-04-22,17,2024,120,0,0,0,0,37
2024-04-29,18,2024,121,0,0,0,0,50
2024-05-06,19,2024,122,0,0,0,0,54
2024-05-13,20,2024,123,0,0,0,0,67
2024-05-20,21,2024,124,0,0,0,0,67
2024-05-27,22,2024,125,0,0,0,0,68
2024-06-03,23,2024,126,0,0,0,0,79
2024-06-10,24,2024,127,0,0,0,0,64
2024-06-17,25,2024,128,0,0,0,0,70
2024-06-24,26,2024,129,0,0,0,0,70
2024-07-01,27,2024,130,1,0,0,0,91
2024-07-08,28,2024,131,1,0,0,0,89
2024-07-15,29,2024,132,1,0,0,0,99
2024-07-22,30,2024,133,0,0,0,0,76
2024-07-29,31,2024,134,0,0,0,0,65
2024-08-05,32,2024,135,0,0,0,0,66
2024-08-12,33,2024,136,0,1,0,0,113
2024-08-19,34,2024,137,0,0,0,0,73
2024-08-26,35,2024,138,0,0,0,0,78
2024-09-02,36,2024,139,0,0,0,0,80
2024-09-09,37,2024,140,0,0,0,0,59
2024-09-16,38,2024,141,0,0,0,0,45
2024-09-23,39,2024,142,0,0,0,0,33
2024-09-30,40,2024,143,0,0,0,0,46
2024-10-07,41,2024,144,0,0,0,0,35
2024-10-14,42,2024,145,0,1,0,0,60
2024-10-21,43,2024,146,0,0,0,0,31
2024-10-28,44,2024,147,0,0,0,0,32
2024-11-04,45,2024,148,0,0,1,0,73
2024-11-11,46,2024,149,0,0,1,0,65
2024-11-18,47,2024,150,0,0,1,0,62
2024-11-25,48,2024,151,0,0,1,0,55
2024-12-02,49,2024,152,0,0,1,0,50
2024-12-09,50,2024,153,0,0,1,0,58
2024-12-16,51,2024,154,1,0,1,0,69
2024-12-23,52,2024,155,1,0,1,0,82
2024-12-30,1,2025,156,0,0,1,0,62
2025-01-06,2,2025,157,0,0,1,0,68
2025-01-13,3,2025,158,0,0,1,0,58
2025-01-20,4,2025,159,0,0,1,0,54
2025-01-27,5,2025,160,0,0,1,0,56
2025-02-03,6,2025,161,0,0,1,0,58
2025-02-10,7,2025,162,0,0,1,0,78
2025-02-17,8,2025,163,0,0,1,0,58
2025-02-24,9,2025,164,0,0,1,0,71
2025-03-03,10,2025,165,0,0,1,0,60
2025-03-10,11,2025,166,0,0,1,0,75
2025-03-17,12,2025,167,0,0,1,0,73
2025-03-24,13,2025,168,0,0,1,0,72
2025-03-31,14,2025,169,0,0,1,0,76
2025-04-07,15,2025,170,1,0,1,0,86
2025-04-14,16,2025,171,0,0,1,0,86
2025-04-21,17,2025,172,0,0,1,0,84
2025-04-28,18,2025,173,0,0,1,0,83
2025-05-05,19,2025,174,0,0,1,0,87
2025-05-12,20,2025,175,0,0,1,0,101
2025-05-19,21,2025,176,0,1,1,0,145
2025-05-26,22,2025,177,0,0,1,0,109
2025-06-02,23,2025,178,0,0,1,1,171
2025-06-09,24,2025,179,0,0,1,1,177
2025-06-16,25,2025,180,0,0,1,1,187
2025-06-23,26,2025,181,0,0,1,1,181
2025-06-30,27,2025,182,1,0,1,1,195
2025-07-07,28,2025,183,1,0,1,1,211
2025-07-14,29,2025,184,1,0,1,1,201
2025-07-21,30,2025,185,0,0,1,1,191
2025-07-28,31,2025,186,0,0,1,1,180
2025-08-04,32,2025,187,0,0,1,1,168
2025-08-11,33,2025,188,0,1,1,1,219
2025-08-18,34,2025,189,0,0,1,1,182
2025-08-25,35,2025,190,0,0,1,1,178
2025-09-01,36,2025,191,0,0,1,1,161
2025-09-08,37,2025,192,0,0,1,1,156
2025-09-15,38,2025,193,0,0,1,1,165
2025-09-22,39,2025,194,0,1,1,1,173
2025-09-29,40,2025,195,0,0,1,1,141
2025-10-06,41,2025,196,0,0,1,1,148
2025-10-13,42,2025,197,0,0,1,1,138
2025-10-20,43,2025,198,0,0,1,1,138
2025-10-27,44,2025,199,0,0,1,1,134
2025-11-03,45,2025,200,0,0,1,1,136
2025-11-10,46,2025,201,0,0,1,1,142
2025-11-17,47,2025,202,0,0,1,1,132
2025-11-24,48,2025,203,0,0,1,1,135
2025-12-01,49,2025,204,0,0,1,1,115
2025-12-08,50,2025,205,0,0,1,1,129
2025-12-15,51,2025,206,1,0,1,1,134
2025-12-22,52,2025,207,1,0,1,1,131
2025-12-29,1,2026,208,0,0,1,1,123
