date,week,year,volume,is_campaign,lag_1,lag_2,lag_3,lag_4,rolling_mean_4,rolling_mean_8,rolling_std_4
2022-02-28,9,2022,488,0,487.0,514.0,459.0,464.0,481.0,468.375,25.15286597321798
2022-03-07,10,2022,498,0,488.0,487.0,514.0,459.0,487.0,472.375,22.464787260658994
2022-03-14,11,2022,529,0,498.0,488.0,487.0,514.0,496.75,481.25,12.526638282742375
2022-03-21,12,2022,532,0,529.0,498.0,488.0,487.0,500.5,487.5,19.63839776220725
2022-03-28,13,2022,541,0,532.0,529.0,498.0,488.0,511.75,496.375,22.066188313042804
2022-04-04,14,2022,549,0,541.0,532.0,529.0,498.0,525.0,506.0,18.708286933869722
2022-04-11,15,2022,599,0,549.0,541.0,532.0,529.0,537.75,517.25,9.06917857360856
2022-04-18,16,2022,542,0,599.0,549.0,541.0,532.0,555.25,527.875,29.981939007787137
2022-04-25,17,2022,545,0,542.0,599.0,549.0,541.0,557.75,534.75,27.729346668586835
2022-05-02,18,2022,543,0,545.0,542.0,599.0,549.0,558.75,541.875,26.986107537027294
2022-05-09,19,2022,583,0,543.0,545.0,542.0,599.0,557.25,547.5,27.86126343151009
2022-05-16,20,2022,783,1,583.0,543.0,545.0,542.0,553.25,554.25,19.87251032624384
2022-05-23,21,2022,571,0,783.0,583.0,543.0,545.0,613.5,585.625,114.48871851264067
2022-05-30,22,2022,555,0,571.0,783.0,583.0,543.0,620.0,589.375,109.9515044614367
2022-06-06,23,2022,557,0,555.0,571.0,783.0,583.0,623.0,590.125,107.28156101275435
2022-06-13,24,2022,594,0,557.0,555.0,571.0,783.0,616.5,584.875,111.22799407822956
2022-06-20,25,2022,596,0,594.0,557.0,555.0,571.0,569.25,591.375,17.969882210706587
2022-06-27,26,2022,590,0,596.0,594.0,557.0,555.0,575.5,597.75,22.54624876411453
2022-07-04,27,2022,557,0,590.0,596.0,594.0,557.0,584.25,603.625,18.337120820892313
2022-07-11,28,2022,577,0,557.0,590.0,596.0,594.0,584.25,600.375,18.337120820892313
2022-07-18,29,2022,745,1,577.0,557.0,590.0,596.0,580.0,574.625,17.26267650163214
2022-07-25,30,2022,568,0,745.0,577.0,557.0,590.0,617.25,596.375,86.2414246944781
2022-08-01,31,2022,580,0,568.0,745.0,577.0,557.0,611.75,598.0,89.20902420719555
2022-08-08,32,2022,558,0,580.0,568.0,745.0,577.0,617.5,600.875,85.15280382935141
2022-08-15,33,2022,564,0,558.0,580.0,568.0,745.0,612.75,596.375,88.62420662550387
2022-08-22,34,2022,542,0,564.0,558.0,580.0,568.0,567.5,592.375,9.291573243177654
2022-08-29,35,2022,542,0,542.0,564.0,558.0,580.0,561.0,586.375,15.705625319186387
2022-09-05,36,2022,544,0,542.0,542.0,564.0,558.0,551.5,584.5,11.239810200058308
2022-09-12,37,2022,485,0,544.0,542.0,542.0,564.0,548.0,580.375,10.708252269472748
2022-09-19,38,2022,507,0,485.0,544.0,542.0,542.0,528.25,547.875,28.84874347350333
