date,week,year,volume,is_campaign
2022-01-03,1,2022,456,0
2022-01-10,2,2022,427,0
2022-01-17,3,2022,479,0
2022-01-24,4,2022,461,0
2022-01-31,5,2022,464,0
2022-02-07,6,2022,459,0
2022-02-14,7,2022,514,0
2022-02-21,8,2022,487,0
2022-02-28,9,2022,488,0
2022-03-07,10,2022,498,0
2022-03-14,11,2022,529,0
2022-03-21,12,2022,532,0
2022-03-28,13,2022,541,0
2022-04-04,14,2022,549,0
2022-04-11,15,2022,599,0
2022-04-18,16,2022,542,0
2022-04-25,17,2022,545,0
2022-05-02,18,2022,543,0
2022-05-09,19,2022,583,0
2022-05-16,20,2022,783,1
2022-05-23,21,2022,571,0
2022-05-30,22,2022,555,0
2022-06-06,23,2022,557,0
2022-06-13,24,2022,594,0
2022-06-20,25,2022,596,0
2022-06-27,26,2022,590,0
2022-07-04,27,2022,557,0
2022-07-11,28,2022,577,0
2022-07-18,29,2022,745,1
2022-07-25,30,2022,568,0
2022-08-01,31,2022,580,0
2022-08-08,32,2022,558,0
2022-08-15,33,2022,564,0
2022-08-22,34,2022,542,0
2022-08-29,35,2022,542,0
2022-09-05,36,2022,544,0
2022-09-12,37,2022,485,0
2022-09-19,38,2022,507,0
2022-09-26,39,2022,497,0
2022-10-03,40,2022,487,0
2022-10-10,41,2022,491,0
2022-10-17,42,2022,530,0
2022-10-24,43,2022,467,0
2022-10-31,44,2022,509,0
2022-11-07,45,2022,440,0
2022-11-14,46,2022,472,0
2022-11-21,47,2022,483,0
2022-11-28,48,2022,493,0
2022-12-05,49,2022,496,0
2022-12-12,50,2022,499,0
2022-12-19,51,2022,473,0
2022-12-26,52,2022,473,0
2023-01-02,1,2023,510,0
2023-01-09,2,2023,488,0
2023-01-16,3,2023,466,0
2023-01-23,4,2023,476,0
2023-01-30,5,2023,488,0
2023-02-06,6,2023,694,1
2023-02-13,7,2023,529,0
2023-02-20,8,2023,550,0
2023-02-27,9,2023,530,0
2023-03-06,10,2023,553,0
2023-03-13,11,2023,572,0
2023-03-20,12,2023,557,0
2023-03-27,13,2023,584,0
2023-04-03,14,2023,563,0
2023-04-10,15,2023,578,0
2023-04-17,16,2023,584,0
2023-04-24,17,2023,742,1
2023-05-01,18,2023,617,0
2023-05-08,19,2023,597,0
2023-05-15,20,2023,613,0
2023-05-22,21,2023,628,0
2023-05-29,22,2023,629,0
2023-06-05,23,2023,636,0
2023-06-12,24,2023,617,0
2023-06-19,25,2023,741,1
2023-06-26,26,2023,616,0
2023-07-03,27,2023,573,0
2023-07-10,28,2023,576,0
2023-07-17,29,2023,576,0
2023-07-24,30,2023,580,0
2023-07-31,31,2023,610,0
2023-08-07,32,2023,572,0
2023-08-14,33,2023,579,0
2023-08-21,34,2023,615,0
2023-08-28,35,2023,567,0
2023-09-04,36,2023,588,0
2023-09-11,37,2023,540,0
2023-09-18,38,2023,552,0
2023-09-25,39,2023,527,0
2023-10-02,40,2023,536,0
2023-10-09,41,2023,561,0
2023-10-16,42,2023,491,0
2023-10-23,43,2023,541,0
2023-10-30,44,2023,533,0
2023-11-06,45,2023,509,0
2023-11-13,46,2023,485,0
2023-11-20,47,2023,522,0
2023-11-27,48,2023,506,0
2023-12-04,49,2023,526,0
2023-12-11,50,2023,522,0
2023-12-18,51,2023,563,0
2023-12-25,52,2023,520,0
2024-01-01,1,2024,504,0
2024-01-08,2,2024,539,0
2024-01-15,3,2024,545,0
2024-01-22,4,2024,580,0
2024-01-29,5,2024,573,0
2024-02-05,6,2024,568,0
2024-02-12,7,2024,603,0
2024-02-19,8,2024,545,0
2024-02-26,9,2024,566,0
2024-03-04,10,2024,567,0
2024-03-11,11,2024,589,0
2024-03-18,12,2024,572,0
2024-03-25,13,2024,630,0
2024-04-01,14,2024,616,0
2024-04-08,15,2024,592,0
2024-04-15,16,2024,610,0
2024-04-22,17,2024,649,0
2024-04-29,18,2024,667,0
2024-05-06,19,2024,701,0
2024-05-13,20,2024,727,0
2024-05-20,21,2024,668,0
2024-05-27,22,2024,635,0
2024-06-03,23,2024,805,1
2024-06-10,24,2024,668,0
2024-06-17,25,2024,640,0
2024-06-24,26,2024,649,0
2024-07-01,27,2024,642,0
2024-07-08,28,2024,651,0
2024-07-15,29,2024,677,0
2024-07-22,30,2024,650,0
2024-07-29,31,2024,637,0
2024-08-05,32,2024,610,0
2024-08-12,33,2024,588,0
2024-08-19,34,2024,612,0
2024-08-26,35,2024,616,0
2024-09-02,36,2024,655,0
2024-09-09,37,2024,608,0
2024-09-16,38,2024,623,0
2024-09-23,39,2024,580,0
2024-09-30,40,2024,557,0
2024-10-07,41,2024,648,1
2024-10-14,42,2024,558,0
2024-10-21,43,2024,625,0
2024-10-28,44,2024,548,0
2024-11-04,45,2024,586,0
2024-11-11,46,2024,541,0
2024-11-18,47,2024,585,0
2024-11-25,48,2024,571,0
2024-12-02,49,2024,729,1
2024-12-09,50,2024,562,0
2024-12-16,51,2024,549,0
2024-12-23,52,2024,579,0
